Time,THCP,THCP01,THCP02,THCP03,THCP04,THCP05,THCP06,THCP07,THCP08,THCP09,THCP10,THCP11,THCP12,THCP13,THCP14,THCP15,THCP16,THCP17,GAS,GAS01,GAS02,GAS03,GAS04,GAS05,GAS06,GAS07,GAS08,GAS09,GAS10,GAS11,GAS12,GAS13,GAS14,GAS15,GAS16,GAS17
9.9234908,20.033124,20.012198,20.008303,20.015028,20.008812,20.006732,20.084057,20.024473,20.015096,20.026126,20.012506,20.009589,20.48281,20.052244,20.028692,20.612624,20.018761,20.013885,0.007563668,0.003536333,0.002611587,0.004015998,0.003005911,0.00247944,0.020300218,0.0075746,0.005146206,0.007316277,0.004659465,0.00371717,0.066088281,0.01744887,0.010025013,0.013815807,0.007202275,0.005249235
10.291452,20.035333,20.013517,20.009277,20.016602,20.009922,20.00763,20.0896,20.027143,20.016881,20.02883,20.014143,20.010868,20.493965,20.057816,20.031945,20.629619,20.02119,20.015629,0.008060635,0.004311357,0.003044103,0.005148031,0.003410717,0.00269681,0.021906229,0.008830282,0.005636531,0.009139463,0.00502373,0.003858763,0.07099965,0.018945253,0.010424902,0.016236009,0.007507753,0.005360316
10.536759,20.038028,20.014922,20.010289,20.018312,20.011077,20.008553,20.09603,20.029911,20.018703,20.031668,20.015816,20.012166,20.507515,20.063435,20.035215,20.638768,20.023639,20.017389,0.010032636,0.00446592,0.003087418,0.005401658,0.003488841,0.002744042,0.025480213,0.008959318,0.00568866,0.009240064,0.005104429,0.003921085,0.077015522,0.019036729,0.010488905,0.016030773,0.00760856,0.005442291
10.904721,20.040974,20.01632,20.011287,20.02002,20.012224,20.009468,20.102829,20.032622,20.020489,20.034442,20.017468,20.013449,20.52271,20.0689,20.038435,20.642557,20.02605,20.019154,0.010143682,0.00449653,0.003109652,0.005416302,0.003528924,0.002773669,0.025720744,0.009009706,0.005725248,0.009273765,0.005160782,0.003966881,0.077779277,0.019245807,0.01067467,0.016058105,0.0077417,0.005625357
11.150028,20.043889,20.017701,20.012276,20.021697,20.013367,20.010382,20.109523,20.035293,20.022264,20.03716,20.019114,20.014737,20.538736,20.074352,20.0417,20.643993,20.028461,20.020959,0.010279589,0.004544679,0.003159509,0.005455313,0.003593789,0.002850089,0.026126216,0.009158854,0.005887546,0.00934054,0.005291087,0.004116554,0.079579119,0.019987365,0.011209419,0.016129771,0.007990972,0.005860161
11.517989,20.04677,20.019093,20.013298,20.023359,20.014545,20.011346,20.116182,20.038045,20.024145,20.039844,20.020833,20.016104,20.556013,20.080183,20.04521,20.643832,20.030965,20.022824,0.010429495,0.00476768,0.003416262,0.005561151,0.003872428,0.003123739,0.026791289,0.009866594,0.006458865,0.00957024,0.00575911,0.004469981,0.083392495,0.021855158,0.012123753,0.016576289,0.008593412,0.00616762
11.763297,20.049626,20.020616,20.014484,20.025042,20.015898,20.012472,20.12292,20.041222,20.026347,20.042596,20.022824,20.017632,20.574891,20.086878,20.049026,20.641371,20.033753,20.02478,0.010568538,0.005147994,0.003852289,0.005709448,0.004340055,0.003547825,0.027551026,0.011034168,0.007313495,0.009929791,0.0064909,0.004923288,0.088183316,0.024316706,0.013068686,0.017353327,0.009432889,0.006495994
12.008604,20.052015,20.022065,20.015554,20.02663,20.017075,20.013409,20.128728,20.044117,20.02822,20.045167,20.024494,20.018874,20.591772,20.092539,20.052094,20.636193,20.036018,20.02635,0.011265019,0.00614962,0.004338007,0.006848536,0.004726229,0.003676512,0.029990967,0.012533989,0.007761365,0.011726469,0.006811955,0.005029342,0.097335868,0.025737592,0.01327018,0.019693779,0.009657718,0.006612458
12.376566,20.055335,20.023984,20.016916,20.028779,20.018562,20.014573,20.136699,20.047827,20.030551,20.048619,20.02657,20.02041,20.614232,20.099552,20.055844,20.624859,20.038796,20.028284,0.012763478,0.006384325,0.004382341,0.007310524,0.004793745,0.003720305,0.033195244,0.012771367,0.007809809,0.012489236,0.006881241,0.005091876,0.1048012,0.025937693,0.01333286,0.020844201,0.009722001,0.006683978
12.621873,20.059187,20.025939,20.018264,20.031036,20.020039,20.015728,20.145738,20.051511,20.03284,20.052232,20.028619,20.021934,20.63844,20.106435,20.059541,20.610268,20.041532,20.030226,0.014176251,0.006526835,0.004427257,0.007620432,0.004863018,0.003775931,0.036392738,0.012936445,0.007874167,0.012984417,0.006964697,0.005174426,0.11276128,0.026321696,0.013634035,0.021630021,0.009889297,0.006951903
12.989834,20.063332,20.027858,20.019599,20.03326,20.021504,20.01689,20.155422,20.055131,20.03513,20.055802,20.030669,20.023499,20.663698,20.113435,20.063452,20.593773,20.044355,20.032355,0.014922328,0.006605287,0.004522471,0.007733632,0.004972485,0.003933789,0.038339318,0.013250505,0.008247433,0.013167692,0.007260096,0.005592893,0.11897055,0.027956013,0.015021371,0.022030898,0.010652285,0.00784725
13.235142,20.067416,20.029771,20.020962,20.035434,20.022992,20.018129,20.165021,20.058864,20.037644,20.05937,20.032873,20.025341,20.68901,20.121366,20.06821,20.576929,20.047637,20.035,0.015087395,0.006711878,0.004667403,0.007802204,0.00512039,0.004182046,0.03904177,0.013785845,0.008913692,0.013306645,0.007753266,0.00632726,0.12293425,0.03065674,0.017256373,0.022411432,0.011907951,0.009173616
13.603103,20.071432,20.031777,20.02251,20.037581,20.024669,20.019612,20.174477,20.062934,20.040582,20.063051,20.035482,20.027545,20.714164,20.130321,20.073657,20.560736,20.051549,20.038005,0.015311843,0.007169046,0.005342065,0.007994121,0.005838386,0.005017304,0.039830967,0.015167609,0.010363344,0.013763207,0.009148201,0.007474654,0.12695368,0.034200435,0.019429757,0.023544794,0.013962732,0.010270829
13.848411,20.075351,20.033959,20.024224,20.039811,20.02652,20.021192,20.183738,20.067391,20.043751,20.067026,20.038303,20.029834,20.739433,20.13992,20.07929,20.545809,20.055659,20.041049,0.015392895,0.007998996,0.005988845,0.00859769,0.006536415,0.005323632,0.040378275,0.016916096,0.011226236,0.015046114,0.009916566,0.007721666,0.13189548,0.037000797,0.020229278,0.025924601,0.014644167,0.010455076
14.169844,20.079018,20.036109,20.025833,20.0421,20.028282,20.022631,20.192398,20.071628,20.046644,20.071196,20.040889,20.031877,20.763315,20.148732,20.084304,20.534306,20.059334,20.04373,0.016663415,0.00864226,0.006102624,0.009914834,0.006799713,0.005423841,0.043427981,0.017564145,0.011329294,0.017415663,0.010064707,0.007799781,0.14017891,0.037536413,0.020337435,0.029933147,0.014731112,0.010524919
14.491278,20.084019,20.038795,20.027708,20.04527,20.030382,20.024307,20.204037,20.07666,20.049966,20.076912,20.043872,20.03423,20.794709,20.158908,20.09003,20.523407,20.063521,20.046797,0.019193585,0.009016373,0.006203558,0.01094472,0.006989387,0.005530452,0.04882974,0.017984656,0.011469563,0.019027298,0.010200895,0.007905416,0.1524041,0.038062651,0.02058444,0.032704607,0.014844795,0.010638944
14.705568,20.088725,20.040991,20.029246,20.047995,20.032102,20.025689,20.214765,20.080749,20.052687,20.08168,20.046302,20.036176,20.822823,20.167231,20.094782,20.51525,20.066952,20.049366,0.020329105,0.009087329,0.006265416,0.011199861,0.007056794,0.005609778,0.051321159,0.018090127,0.01160273,0.019301853,0.010284382,0.0080964,0.1580901,0.038505526,0.021237078,0.033139456,0.015144959,0.011203737
15.027001,20.093384,20.043155,20.030782,20.050721,20.033812,20.027089,20.225407,20.084768,20.055419,20.086316,20.048728,20.0382,20.850866,20.175571,20.099772,20.507729,20.070506,20.052193,0.020562096,0.009212917,0.006451679,0.011301407,0.007269639,0.005898758,0.052034073,0.018442209,0.012078213,0.019389171,0.010725998,0.008637438,0.16063098,0.039755167,0.022506469,0.033271915,0.016099278,0.01216378
15.348435,20.098865,20.045823,20.032761,20.05407,20.036011,20.028971,20.237954,20.089816,20.059006,20.091848,20.051952,20.04093,20.884334,20.186249,20.106264,20.499615,20.075315,20.055877,0.020911631,0.009925239,0.007136664,0.011975102,0.007996047,0.006597883,0.053177144,0.019895062,0.013280391,0.020556936,0.011884779,0.009557435,0.16476098,0.042643725,0.024263377,0.035286138,0.017786488,0.013122371
15.645776,20.104221,20.048799,20.034964,20.057795,20.038402,20.030939,20.250313,20.095273,20.062737,20.097921,20.055303,20.043625,20.917131,20.197087,20.112607,20.494087,20.080102,20.059378,0.022219102,0.011114351,0.007948666,0.013332833,0.008816435,0.007077821,0.056027629,0.021705208,0.014167379,0.022840571,0.012692236,0.009895862,0.17084294,0.044758363,0.024962931,0.03897784,0.018448828,0.01333717
15.916081,20.109541,20.051467,20.036905,20.06121,20.040529,20.032664,20.261975,20.10006,20.065965,20.103211,20.058219,20.045948,20.946182,20.206444,20.11805,20.489836,20.084241,20.062384,0.024366193,0.011381283,0.008056174,0.013770793,0.009029878,0.007208091,0.059323541,0.021990723,0.014304136,0.023068099,0.012872593,0.010040859,0.17488583,0.045234986,0.025288483,0.039085748,0.018713312,0.01364734
16.229065,20.115328,20.054331,20.039004,20.064942,20.042833,20.034558,20.274478,20.105208,20.069485,20.108809,20.061409,20.048546,20.976861,20.216718,20.124153,20.48578,20.088904,20.065869,0.024607172,0.011661739,0.00836537,0.01401927,0.009394574,0.007637632,0.059787343,0.02272342,0.015049854,0.023474802,0.013608187,0.010870606,0.17650877,0.047483381,0.027089249,0.040002963,0.020186249,0.015077907
16.548629,20.121764,20.057696,20.04154,20.069305,20.045628,20.036909,20.288402,20.111321,20.073748,20.115247,20.065351,20.051779,21.010927,20.228876,20.131462,20.482381,20.094688,20.070156,0.025061216,0.012411257,0.0090384,0.014742349,0.010186051,0.008359724,0.060920755,0.02407031,0.01603859,0.02482446,0.014722638,0.011693495,0.17916634,0.049430969,0.028216244,0.042425865,0.021520516,0.015872364
16.841904,20.128059,20.0611,20.044082,20.073839,20.048434,20.039263,20.30199,20.117365,20.077908,20.121804,20.069242,20.054939,21.043718,20.240545,20.138432,20.480351,20.100319,20.074285,0.025917836,0.012897222,0.009260375,0.015518031,0.010481036,0.00856827,0.062767806,0.02462156,0.016244018,0.026089939,0.014970733,0.011860229,0.18317509,0.049918223,0.028395096,0.044323439,0.021738063,0.016027654
17.144343,20.134213,20.064323,20.046453,20.078277,20.051062,20.04146,20.315284,20.123012,20.081755,20.128078,20.072856,20.057881,21.075804,20.251338,20.144863,20.47923,20.105564,20.078145,0.026849404,0.013039859,0.009325719,0.015841332,0.0105871,0.008657849,0.064911,0.024796286,0.016327428,0.026549034,0.015068749,0.011953005,0.18843065,0.050171921,0.028554672,0.045061009,0.021871253,0.01618282
17.446782,20.140485,20.067488,20.048794,20.082739,20.053652,20.043647,20.328883,20.12856,20.085565,20.134244,20.076431,20.060838,21.108965,20.262054,20.151341,20.4785,20.110824,20.082106,0.02729031,0.013115801,0.009415743,0.015971938,0.01069412,0.008813297,0.066104989,0.02500059,0.016589364,0.026698023,0.015273027,0.012279357,0.19233591,0.051166829,0.029519267,0.045325542,0.022369309,0.016845731
17.749221,20.146597,20.070584,20.051126,20.087113,20.056228,20.04588,20.342196,20.134062,20.089444,20.14022,20.080056,20.063929,21.142225,20.27303,20.158155,20.4781,20.116282,20.086337,0.027407742,0.013291274,0.009697302,0.016051598,0.011024064,0.009267918,0.066519723,0.025596716,0.017328003,0.026794344,0.015938174,0.01300471,0.19479065,0.053313509,0.031149141,0.045584451,0.023567911,0.01779491
